264	
C0000768	0
C0001418	1
C0001956	2
C0002395	3
C0002871	4
C0002878	5
C0003504	6
C0003873	7
C0003886	8
C0004096	9
C0004135	10
C0004364	11
C0004775	12
C0004936	13
C0005426	14
C0005586	15
C0005695	16
C0006826	17
C0007138	18
C0007193	19
C0007222	20
C0008626	21
C0009375	22
C0010068	23
C0010674	24
C0011570	25
C0011581	26
C0011849	27
C0011854	28
C0011860	29
C0011881	30
C0013080	31
C0013423	32
C0014130	33
C0014175	34
C0014544	35
C0015625	36
C0015695	37
C0016057	38
C0017150	39
C0017154	40
C0017168	41
C0017185	42
C0017636	43
C0017638	44
C0017668	45
C0018798	46
C0018801	47
C0018818	48
C0019163	49
C0019196	50
C0019554	51
C0020179	52
C0020474	53
C0020476	54
C0020517	55
C0020538	56
C0021364	57
C0021390	58
C0021841	59
C0022408	60
C0022680	61
C0023418	62
C0023434	63
C0023449	64
C0023467	65
C0023479	66
C0023903	67
C0023904	68
C0024115	69
C0024117	70
C0024121	71
C0024141	72
C0024143	73
C0024291	74
C0024299	75
C0024305	76
C0024530	77
C0024623	78
C0024667	79
C0025007	80
C0025268	81
C0025990	82
C0026654	83
C0026769	84
C0026848	85
C0027051	86
C0027497	87
C0027627	88
C0027651	89
C0027697	90
C0028754	91
C0029231	92
C0029458	93
C0030297	94
C0032181	95
C0032460	96
C0032927	97
C0032994	98
C0034067	99
C0035450	100
C0036095	101
C0036202	102
C0036341	103
C0037286	104
C0037889	105
C0038013	106
C0038379	107
C0038454	108
C0039101	109
C0039103	110
C0039263	111
C0040137	112
C0041327	113
C0042164	114
C0085131	115
C0085390	116
C0085633	117
C0085684	118
C0085695	119
C0149871	120
C0151332	121
C0151449	122
C0151723	123
C0151889	124
C0152013	125
C0152421	126
C0152427	127
C0153381	128
C0153579	129
C0155626	130
C0156394	131
C0162674	132
C0178874	133
C0200641	134
C0205734	135
C0205768	136
C0206686	137
C0206701	138
C0206708	139
C0220641	140
C0220668	141
C0221002	142
C0233769	143
C0235394	144
C0235527	145
C0235782	146
C0235974	147
C0238124	148
C0238461	149
C0239676	150
C0239946	151
C0240083	152
C0242666	153
C0259817	154
C0265325	155
C0265553	156
C0265554	157
C0265610	158
C0270764	159
C0278488	160
C0279626	161
C0334419	162
C0334471	163
C0334486	164
C0334533	165
C0334579	166
C0338106	167
C0338451	168
C0339573	169
C0342879	170
C0344482	171
C0346629	172
C0346647	173
C0348494	174
C0376358	175
C0376544	176
C0376545	177
C0423110	178
C0423903	179
C0424295	180
C0427565	181
C0431447	182
C0432211	183
C0442874	184
C0452047	185
C0454555	186
C0474535	187
C0476089	188
C0520679	189
C0541794	190
C0549473	191
C0566602	192
C0585442	193
C0596263	194
C0598766	195
C0598935	196
C0677886	197
C0677936	198
C0678222	199
C0684249	200
C0687713	201
C0699790	202
C0699791	203
C0700095	204
C0730328	205
C0740279	206
C0750151	207
C0751494	208
C0751812	209
C0752109	210
C0848558	211
C0860207	212
C0917816	213
C0919267	214
C0948216	215
C0950123	216
C1257931	217
C1258104	218
C1270972	219
C1306460	220
C1335302	221
C1378703	222
C1449563	223
C1458155	224
C1512409	225
C1562113	226
C1611184	227
C1836653	228
C1839541	229
C1843367	230
C1848178	231
C1848296	232
C1850189	233
C1851971	234
C1853246	235
C1854301	236
C1855996	237
C1860844	238
C1876161	239
C1956346	240
C1970943	241
C2239176	242
C2677500	243
C2711227	244
C2936349	245
C2936719	246
C2939420	247
C3463824	248
C3536714	249
C3544092	250
C3554247	251
C3665419	252
C3714756	253
C3714757	254
C3840085	255
C4020886	256
C4020887	257
C4072825	258
C4277682	259
C4280369	260
C4280623	261
C4476523	262
C4531021	263
